section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546362318121,1.464844,0.362396,-12.735367,-0.134766,-0.243652,0.960449,6.476979037444664,-14.175209841038773,2.306067870931769,0.9907135367393494,-0.12429291009902954,0.053570251911878586,0.012968242168426514
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546365884121,1.464844,0.179291,-12.613297,-0.131836,-0.226562,0.95166,6.469071813711757,-14.171699696403515,2.3157049692597975,0.9907198548316956,-0.12426617741584778,0.05349225923418999,0.013061927631497383
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546369450121,1.098633,-0.003815,-12.491226,-0.109375,-0.236328,0.973144,6.455045687601241,-14.170774647450582,2.326229113132618,0.9907261729240417,-0.12426148355007172,0.05335979908704758,0.013168597593903542
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546373016121,0.91362,0.116348,-12.430191,-0.116211,-0.249512,0.957031,6.44362001197675,-14.174184176477802,2.337707068453472,0.9907265305519104,-0.12429497390985489,0.053247760981321335,0.013278489001095295
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546376582121,0.854492,-0.003815,-12.613297,-0.11377,-0.231445,0.965332,6.430761291704116,-14.173697207435898,2.3480452157737233,0.9907318353652954,-0.12429406493902206,0.053125493228435516,0.013382066041231155
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546380148121,0.793457,0.05722,-12.918472,-0.126953,-0.233887,0.963379,6.420865329323974,-14.174157188141779,2.3704594954740856,0.99073326587677,-0.12430725991725922,0.05301550775766373,0.013586354441940784
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546383714121,0.8564,-0.066757,-12.918472,-0.121582,-0.245117,0.968262,6.409153560472399,-14.176473737744153,2.3947547772863063,0.9907333254814148,-0.1243371069431305,0.052887339144945145,0.013807939365506172
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546387280121,1.342773,0.240326,-13.162613,-0.119141,-0.244629,0.963379,6.398066671111079,-14.176943986722812,2.417747340621722,0.9907351136207581,-0.12435042858123779,0.05276641622185707,0.014018518850207329
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546390846121,1.279831,-0.066757,-13.467789,-0.117187,-0.235352,0.959473,6.385027475298794,-14.176080376435545,2.439747810153227,0.9907393455505371,-0.12435147166252136,0.052630022168159485,0.014223318547010422
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546394412121,1.342773,-0.18692,-13.589859,-0.108398,-0.24707,0.978516,6.368941012183145,-14.176508468422472,2.460353911293503,0.9907436966896057,-0.12436261028051376,0.052468474954366684,0.014418717473745346
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546397978121,1.220703,-0.30899,-13.895035,-0.109375,-0.236816,0.971191,6.352461912035468,-14.175821009765196,2.4794122061043136,0.9907495379447937,-0.12436329573392868,0.05230548232793808,0.014601723290979862
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546401544121,1.03569,-0.429153,-13.711929,-0.123535,-0.228516,0.971191,6.338884636367892,-14.173994063706145,2.483197951068405,0.990757167339325,-0.1243475005030632,0.05218443274497986,0.014650105498731136
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546405110121,1.403809,-0.431061,-13.834,-0.117676,-0.234863,0.966797,6.3239907813228795,-14.17223176283502,2.4824505809431168,0.9907659292221069,-0.12433002144098282,0.05205690860748291,0.014660689048469067
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546408676121,0.915527,-0.431061,-14.200211,-0.111328,-0.237793,0.966797,6.3074000172492015,-14.17340716028955,2.479180733325261,0.9907726049423218,-0.12433657795190811,0.05191671848297119,0.01464982982724905
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546412242121,1.401901,-0.555038,-13.95607,-0.116699,-0.22998,0.963379,6.291828014593977,-14.170830725573046,2.5021839931278596,0.990779459476471,-0.12432270497083664,0.05175776407122612,0.014866902492940426
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546415808121,1.098633,-0.675201,-14.505386,-0.109375,-0.235352,0.967773,6.27348364692823,-14.170773245353924,2.5263232682488073,0.9907845854759216,-0.12433069944381714,0.05157297104597092,0.015095544047653675
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546419374121,1.464844,-1.102448,-14.627457,-0.119141,-0.244629,0.961426,6.255501981846028,-14.17138815465862,2.550730664114107,0.9907888174057007,-0.1243445873260498,0.0513908676803112,0.015325784683227539
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546422940121,1.523972,-0.982285,-14.566422,-0.111328,-0.23291,0.967285,6.236296297118255,-14.168964316878869,2.5746466747083567,0.9907967448234558,-0.1243317574262619,0.05119946599006653,0.015554608777165413
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546426506121,1.403809,-1.407623,-14.932632,-0.101562,-0.250977,0.960449,6.212919640667835,-14.171435616625217,2.5756459546225443,0.9908043742179871,-0.12435039132833481,0.05099562928080559,0.015587391331791878
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546430072121,1.281738,-1.285553,-14.749527,-0.106934,-0.244141,0.960937,6.191553832040769,-14.172824197500537,2.573496115033855,0.9908126592636108,-0.12435853481292725,0.050812870264053345,0.015591303817927837
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546433638121,1.281738,-1.651764,-14.566422,-0.117187,-0.256348,0.960937,6.171090477924415,-14.176668042020138,2.5717441555370035,0.9908179044723511,-0.1243881955742836,0.05063687264919281,0.015596481040120125
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546437204121,1.03569,-1.775742,-14.322281,-0.112793,-0.257324,0.959961,6.149555097149415,-14.181652726196337,2.5734737919686843,0.990821897983551,-0.12442910671234131,0.05044753849506378,0.015632379800081253
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546440770121,1.03569,-1.836777,-14.505386,-0.124512,-0.246094,0.957519,6.130293785456227,-14.184381113135833,2.5754032459952367,0.990827202796936,-0.12445090711116791,0.05027821287512779,0.015668649226427078
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546444336121,0.854492,-2.323151,-14.505386,-0.112793,-0.25,0.956055,6.106423300870494,-14.188835092356667,2.5767035444823345,0.9908326864242554,-0.12448671460151672,0.05006927251815796,0.015703652054071426
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546447902121,0.732422,-2.384186,-14.200211,-0.120605,-0.246094,0.966309,6.084216869479994,-14.192224207869325,2.5819937732446374,0.9908380508422852,-0.12451526522636414,0.04987066239118576,0.015771880745887756
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546451468121,0.8564,-2.508163,-14.505386,-0.107422,-0.240723,0.959961,6.058422560222631,-14.194471977054482,2.5854205304720344,0.9908463954925537,-0.12453262507915497,0.04964333772659302,0.015828456729650497
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546451610121,0.305176,-2.811432,-14.139175,-0.11377,-0.250977,0.969238,6.033055990429671,-14.200521230559701,2.5908836092558105,0.9908501505851746,-0.12458376586437225,0.04941653460264206,0.01590035855770111
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546451752121,0.671387,-2.384186,-14.07814,-0.115723,-0.24707,0.960937,6.010292133486097,-14.20451517653773,2.5856875524032983,0.990856409072876,-0.12461289763450623,0.04922434315085411,0.01587826758623123
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546451894121,0.425339,-2.691269,-14.200211,-0.116699,-0.239746,0.968262,5.986223216188228,-14.207646831669067,2.577801519967072,0.9908644556999207,-0.12463326007127762,0.049024008214473724,0.015834758058190346
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546452036121,0.427246,-2.628326,-14.261246,-0.121094,-0.241211,0.96875,5.963405018752078,-14.211028382833911,2.5693683714648157,0.990871787071228,-0.12465573847293854,0.04883503168821335,0.01578505150973797
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546452178121,0.425339,-2.508163,-13.895035,-0.128906,-0.246094,0.972656,5.943251014710222,-14.214985840742507,2.5715318381674206,0.9908758401870728,-0.12468808889389038,0.04865741729736328,0.015823811292648315
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546452320121,0.79155,-2.508163,-13.711929,-0.129395,-0.238281,0.963379,5.923653440531154,-14.216082320515303,2.5112293341630685,0.99089115858078,-0.12466932833194733,0.04855329170823097,0.015323174186050892
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546452462121,0.732422,-2.262115,-13.834,-0.124512,-0.23584,0.956543,5.904135775745949,-14.217351190530458,2.4501951880591353,0.9909061193466187,-0.12465189397335052,0.04845061153173447,0.014816036447882652
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546452604121,1.281738,-2.445221,-13.040543,-0.118652,-0.23291,0.964355,5.883222316286497,-14.214857788648864,2.392122113913801,0.9909249544143677,-0.12460315972566605,0.048333510756492615,0.014337765984237194
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546452746121,1.586914,-2.262115,-13.162613,-0.112793,-0.233887,0.967773,5.861635661554411,-14.211144679447374,2.3998273879771985,0.9909370541572571,-0.12457159161567688,0.04813934117555618,0.014429598115384579
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546452888121,1.89209,-1.590729,-12.979507,-0.123047,-0.239746,0.967773,5.845512672924154,-14.207195228485965,2.408962463564933,0.990946888923645,-0.12453924119472504,0.04799092188477516,0.01452795509248972
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546453030121,1.768112,-0.555038,-13.040543,-0.117187,-0.242188,0.967285,5.832633889660258,-14.204372152386517,2.4174360663306116,0.9909542202949524,-0.12451674044132233,0.04787101224064827,0.014616536907851696
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546453172121,1.831055,-0.919342,-12.796402,-0.120117,-0.24707,0.97168,5.819022180985408,-14.201954460665506,2.3603089897095884,0.9909696578979492,-0.12447027862071991,0.04781593382358551,0.014138421043753624
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546453314121,2.13623,-0.919342,-12.613297,-0.118164,-0.249023,0.955566,5.805561044912544,-14.199402907325778,2.3760035685947405,0.9909760355949402,-0.1244530901312828,0.047683071345090866,0.01428994257003069
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546453456121,2.319336,-1.285553,-12.430191,-0.10791,-0.238281,0.956055,5.7884466977177205,-14.193743458235149,2.3918776218420743,0.9909871816635132,-0.12440861016511917,0.04751915484666824,0.014448408037424088
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1695243546453598121,1.832962,-1.04332,-12.552261,-0.118164,-0.262207,0.949219,5.774821681824532,-14.195596091533492,2.3908358341138736,0.9909909963607788,-0.12442247569561005,0.047402024269104004,0.0144533421844244
