section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,1,1709741923572898009,1709741923773150009,200
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,2,1709741923778150009,1709741923913277009,135
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,3,1709741923918277009,1709741924188536009,270
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,4,1709741933857524009,1709741934177778009,320
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,5,1709741935759298009,1709741936069552009,310
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,6,1709741936850311009,1709741937195566009,345
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,7,1709741939312592009,1709741939682972009,370
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,8,1709741940538732009,1709741940708860009,170
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,9,1709741940713860009,1709741940999113009,285
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,10,1709741941224366009,1709741941404493009,180
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,11,1709741943076015009,1709741943436394009,360
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,12,1709741944262154009,1709741944512407009,250
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,13,1709741944852787009,1709741945153041009,300
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,14,1709741945723548009,1709741946028802009,305
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,15,1709741946224054009,1709741946434182009,210
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,16,1709741946559308009,1709741946689435009,130
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,17,1709741946694435009,1709741946929688009,235
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,18,1709741949096715009,1709741949321844009,225
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,19,1709741950623116009,1709741950928364009,305
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,20,1709741952199505009,1709741952514884009,315
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,21,1709741952900138009,1709741953080394009,180
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,22,1709741953085391009,1709741953265522009,180
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,23,1709741955532676009,1709741956143180009,610
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,24,1709741957054066009,1709741957354320009,300
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,25,1709741959060967009,1709741959341220009,280
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,26,1709741959426231009,1709741959776601009,350
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,27,1709741962434021009,1709741962884515009,450
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,28,1709741964040530009,1709741964470910009,430
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,29,1709741966007430009,1709741966342684009,335
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,30,1709741966437814009,1709741966693064009,255
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,31,1709741970046106009,1709741970471487009,425
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,32,1709741971857754009,1709741972223134009,365
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,33,1709741972603514009,1709741973013894009,410
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,34,1709741973344148009,1709741973669532009,325
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,35,1709741974310036009,1709741974750541009,440
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,36,1709741975065795009,1709741975386049009,320
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,37,1709741975971682009,1709741976146809009,175
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,38,1709741976151809009,1709741976326936009,175
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,39,1709741978789225009,1709741978919344009,130
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,40,1709741981631879009,1709741982022263009,390
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,41,1709741983438527009,1709741983783907009,345
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,42,1709741984749798009,1709741985080054009,330
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,43,1709741985245300009,1709741985615555009,370
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,44,1709741985940934009,1709741986376319009,435
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,45,1709741986926821009,1709741987247076009,320
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,46,1709741988633343009,1709741989018723009,385
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,47,1709741990770371009,1709741991290877009,520
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,48,1709741992086638009,1709741992401892009,315
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,49,1709741993913294009,1709741994288666009,375
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,50,1709741994583920009,1709741994974299009,390
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,51,1709741996575820009,1709741996770948009,195
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,52,1709741996941075009,1709741997136337009,195
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,53,1709741999313355009,1709741999663610009,350
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,54,1709742001255130009,1709742001370256009,115
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,55,1709742001375257009,1709742001515383009,140
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,56,1709742005228806009,1709742005398933009,170
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,57,1709742008576849009,1709742008887232009,310
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,58,1709742010143369009,1709742010553749009,410
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,59,1709742013845610009,1709742014080860009,235
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,60,1709742015106735009,1709742015306986009,200
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,61,1709742018034486009,1709742018444860009,410
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,62,1709742020816984009,1709742021152365009,335
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,63,1709742021887984009,1709742022103234009,215
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,64,1709742023519484009,1709742023744734009,225
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,65,1709742026281984009,1709742026442109009,160
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,66,1709742027813359009,1709742027983609009,170
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,67,1709742029680109009,1709742029945358009,265
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,68,1709742030836234009,1709742031016371009,180
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,69,1709742031121483009,1709742031331608009,210
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,70,1709742032662858009,1709742032857983009,195
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,71,1709742032862990009,1709742033003108009,140
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,72,1709742035390358009,1709742035560483009,170
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,73,1709742035645610009,1709742035905858009,260
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,74,1709742038292987009,1709742038488233009,195
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,75,1709742045274364009,1709742045654732009,380
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,76,1709742046245357009,1709742046505482009,260
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,77,1709742046510482009,1709742046820857009,310
d46726c4-ce1a-42b2-b24c-12102f55c1ad,5989535e-358b-4cb3-9cc7-099491f3ac60,78,1709742047156107009,1709742047676607009,520
