section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612292268035,-10.326385,-1.083374,20.765305,-0.040527,-0.557617,0.859863,2.616845695234477,-32.063782306110376,91.83007477057404,0.6730217337608337,-0.20785391330718994,-0.1830568164587021,0.685805082321167
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612296643035,-9.473801,-1.024246,19.971848,-0.03418,-0.583008,0.866699,2.6667107766447615,-32.1083049139357,91.78712224657812,0.6732898354530334,-0.20847883820533752,-0.18295568227767944,0.6853790879249573
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612301018035,-7.703781,-1.756668,18.873215,-0.037109,-0.571289,0.859863,2.7108978382375457,-32.143719979348035,91.73394393428903,0.67362380027771,-0.20903316140174866,-0.18281365931034088,0.6849198341369629
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612305393035,-5.992889,-1.754761,17.713547,-0.03418,-0.567383,0.856445,2.7508868013064496,-32.17142925693674,91.67342184409293,0.6740065217018127,-0.20952923595905304,-0.18263576924800873,0.6844390630722046
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612309768035,-4.22287,-2.243042,16.126633,-0.028809,-0.563965,0.867187,2.7825585606496497,-32.18977200835358,91.60605326850734,0.6744309663772583,-0.20993205904960632,-0.18243713676929474,0.6839502453804016
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612314143035,-3.490448,-2.731323,15.333176,-0.04248,-0.562012,0.868652,2.8132204961586447,-32.204384382641216,91.53709160561492,0.6748687028884888,-0.21030950546264648,-0.1822185516357422,0.6834606528282166
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612318518035,-2.025604,-3.219604,14.783859,-0.038086,-0.562012,0.85498,2.839001877740154,-32.214250553468354,91.46489618058932,0.6753249168395996,-0.2106352299451828,-0.18199370801448822,0.6829694509506226
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612322893035,-0.865936,-3.646851,15.028,-0.038574,-0.546387,0.854492,2.8634782965585788,-32.21613487414684,91.39280601289289,0.6757903695106506,-0.21090641617774963,-0.18172819912433624,0.6824958920478821
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612327268035,-0.499725,-4.013062,15.089035,-0.038574,-0.543945,0.841797,2.8865480582275853,-32.21739418746947,91.32112479236942,0.6762517690658569,-0.2111646980047226,-0.1814676970243454,0.6820281147956848
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612331643035,-0.19455,-4.440308,15.394211,-0.050781,-0.541016,0.845703,2.91153683297508,-32.21617097971807,91.25285357662189,0.6766993999481201,-0.21141429245471954,-0.18118691444396973,0.6815813183784485
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612336018035,0.110626,-4.623413,15.516281,-0.049316,-0.55127,0.838867,2.9356370258824565,-32.21624246354772,91.19272964131656,0.6770948767662048,-0.21165300905704498,-0.18093399703502655,0.6811815500259399
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612340393035,0.169754,-4.930496,15.821457,-0.054199,-0.54541,0.839355,2.9603858103531446,-32.2147934861264,91.13659893339329,0.6774697303771973,-0.21188020706176758,-0.18067525327205658,0.6808068156242371
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612344768035,0.904083,-4.989624,15.760422,-0.046875,-0.547363,0.844238,2.9825550338291693,-32.20998485152101,91.07948043426276,0.6778513193130493,-0.21207386255264282,-0.1804095059633255,0.6804370880126953
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612349143035,1.4534,-4.745483,15.394211,-0.039062,-0.529297,0.826172,3.0028579784352867,-32.20167308106694,91.02567840385677,0.6782154440879822,-0.2122306227684021,-0.1801396906375885,0.6800966858863831
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612353518035,0.720978,-4.318237,15.089035,-0.041504,-0.518066,0.833496,3.024725436490071,-32.193711460527496,90.97219379558256,0.6785793900489807,-0.212397962808609,-0.17986318469047546,0.6797545552253723
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612357896035,0.293732,-4.684448,14.600754,-0.033203,-0.520996,0.831543,3.041533857529722,-32.1885386766263,90.9156768948661,0.6789488792419434,-0.2125561237335205,-0.1796276867389679,0.6793983578681946
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612362274035,-1.171112,-4.196167,14.417648,-0.043457,-0.515625,0.835449,3.0626845552435666,-32.18828537557189,90.86029266304328,0.67931067943573,-0.21276678144931793,-0.17939803004264832,0.6790313124656677
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612366652035,-1.171112,-3.890991,14.295578,-0.048828,-0.52832,0.830566,3.086194099896373,-32.19089822710891,90.7904679041063,0.6797570586204529,-0.21303053200244904,-0.17914460599422455,0.6785686612129211
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612371030035,-1.171112,-3.40271,14.295578,-0.04541,-0.518066,0.847656,3.110636060931168,-32.189643970850035,90.71740545924607,0.680229663848877,-0.2132820188999176,-0.17885611951351166,0.6780920028686523
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612375408035,-0.806808,-3.465652,14.417648,-0.047852,-0.521484,0.831055,3.1358530277877725,-32.1892702429345,90.64507295090924,0.6806974411010742,-0.21354180574417114,-0.17856942117214203,0.6776162385940552
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612379786035,-0.806808,-3.221512,15.211105,-0.041992,-0.515625,0.839844,3.1625907988585675,-32.18662891997053,90.5825248903146,0.6811128854751587,-0.21378180384635925,-0.17827805876731873,0.6771997213363647
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612384164035,-1.232147,-3.52478,15.760422,-0.053711,-0.533203,0.839844,3.1924637451260764,-32.188840429480024,90.52610922151467,0.6814892292022705,-0.21405893564224243,-0.17800840735435486,0.6768043637275696
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612388542035,-1.111984,-3.465652,16.126633,-0.048828,-0.549805,0.844238,3.2221656509411654,-32.19295797331124,90.47141027887096,0.6818519830703735,-0.21434332430362701,-0.17775417864322662,0.6764156818389893
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612392920035,-0.745773,-3.953934,16.675949,-0.05127,-0.536621,0.849121,3.251634095256065,-32.19229869913931,90.41256669383837,0.6822459101676941,-0.21460455656051636,-0.17746469378471375,0.6760115623474121
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612397298035,-0.806808,-4.259109,16.859055,-0.04834,-0.554688,0.844238,3.27949266446616,-32.195718428670425,90.35316168570614,0.6826341152191162,-0.2148808240890503,-0.17720796167850494,0.6755990982055664
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612401676035,-0.682831,-4.501343,16.248703,-0.057129,-0.549316,0.854004,3.306597782478243,-32.196546140735286,90.29171926135767,0.6830368638038635,-0.21514037251472473,-0.17693611979484558,0.6751805543899536
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612406054035,-0.621796,-4.867554,15.882492,-0.055664,-0.547852,0.84082,3.3308154421241185,-32.198424263053845,90.23121241960668,0.6834277510643005,-0.21538740396499634,-0.17668931186199188,0.674770712852478
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612410432035,-0.743866,-4.989624,15.028,-0.041504,-0.551758,0.84375,3.348424019224869,-32.20149340846238,90.16524730618474,0.6838384866714478,-0.21561069786548615,-0.1764785796403885,0.6743383407592773
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612414810035,-1.050949,-5.601883,14.722824,-0.053711,-0.538086,0.854492,3.3654861885029477,-32.202105664671805,90.09986414386141,0.6842484474182129,-0.21581530570983887,-0.17625731229782104,0.6739147305488586
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612419188035,-0.986099,-5.601883,13.990402,-0.049316,-0.542969,0.855469,3.379326246121807,-32.20343317833154,90.03112333354176,0.6846718192100525,-0.21601013839244843,-0.17605306208133698,0.6734755635261536
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612423574035,-1.171112,-6.149292,13.685226,-0.043457,-0.552734,0.85498,3.3884247533890797,-32.2075062218631,89.96056915695523,0.6850940585136414,-0.21619586646556854,-0.1758899688720703,0.6730290651321411
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612427960035,-1.049042,-6.454468,13.441086,-0.058594,-0.535645,0.847656,3.399456471557156,-32.208694011261244,89.89121574535494,0.685516357421875,-0.216374009847641,-0.17570018768310547,0.6725912690162659
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612432346035,-1.478195,-6.635666,13.685226,-0.04541,-0.532715,0.849609,3.406988474392951,-32.21098683113052,89.82178898394977,0.6859317421913147,-0.21653810143470764,-0.17553766071796417,0.6721572279930115
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612436732035,-1.720428,-7.492065,13.25798,-0.048828,-0.538086,0.85498,3.4104336494402436,-32.214781272926594,89.7377565631854,0.6864238977432251,-0.21670930087566376,-0.17538081109523773,0.6716403961181641
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612441118035,-2.145767,-7.738113,13.441086,-0.058594,-0.540527,0.850098,3.415951407312332,-32.22131445985381,89.6539363108654,0.6869133710861206,-0.21690835058689117,-0.17522810399532318,0.6711153388023376
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612445504035,-2.391815,-7.614136,13.685226,-0.051758,-0.526855,0.834961,3.4211847760315783,-32.22810274634003,89.57054783331633,0.6873990893363953,-0.21710646152496338,-0.17507924139499664,0.6705926060676575
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612449890035,-3.065109,-7.555008,13.685226,-0.049805,-0.542969,0.837402,3.426249958470532,-32.24046448769101,89.51209661858582,0.6877297163009644,-0.21729829907417297,-0.17501164972782135,0.6702089905738831
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612454276035,-3.124237,-7.614136,13.563156,-0.046875,-0.539062,0.832031,3.4300562965875705,-32.252999855734245,89.45794482930603,0.6880328059196472,-0.2174772173166275,-0.174960657954216,0.6698530912399292
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612458662035,-3.673553,-7.553101,13.319016,-0.059082,-0.522461,0.841797,3.436530350618025,-32.26368071954155,89.40559147666927,0.6883321404457092,-0.21765801310539246,-0.17488589882850647,0.669506311416626
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612463048035,-4.772186,-7.30896,12.769699,-0.049805,-0.537109,0.841797,3.4403615274410253,-32.28198661407945,89.32497560682982,0.6887804865837097,-0.2179115265607834,-0.1748184710741043,0.6689801216125488
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612467434035,-4.835129,-7.066727,13.01384,-0.035156,-0.538086,0.834473,3.4423073054315076,-32.30154809607103,89.23917120940553,0.6892538666725159,-0.21816937625408173,-0.17475968599319458,0.6684236526489258
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612471820035,-4.1008,-6.759644,12.281418,-0.030762,-0.533691,0.848633,3.442127410275146,-32.31562845346488,89.14816762636794,0.6897623538970947,-0.2183903604745865,-0.1746709793806076,0.6678498983383179
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612476206035,-3.736496,-6.39534,11.548996,-0.036133,-0.541504,0.844238,3.4429214910361337,-32.33015438126835,89.07908823252968,0.6901434659957886,-0.2185862511396408,-0.1746206283569336,0.6674050688743591
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612480592035,-2.635956,-6.515503,10.755539,-0.052246,-0.556152,0.833496,3.445125243507613,-32.34387119460222,89.01320609574941,0.6905090808868408,-0.21878068149089813,-0.17456291615962982,0.6669781804084778
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612484953035,-0.865936,-7.369995,10.511398,-0.0625,-0.516113,0.812012,3.445599312652477,-32.34497955419241,88.94842776577866,0.6908850073814392,-0.21888865530490875,-0.17444291710853577,0.6665847301483154
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612489314035,-2.759933,-6.39534,10.206223,-0.03418,-0.5625,0.82959,3.4422799276645217,-32.361053545067556,88.86425973232214,0.6913443207740784,-0.21909277141094208,-0.17439723014831543,0.6660531759262085
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612493675035,-3.551483,-6.149292,10.694504,-0.037598,-0.54541,0.812988,3.4426660225105197,-32.379163384305414,88.78098542791163,0.6918004751205444,-0.21932916343212128,-0.17434270679950714,0.6655158400535583
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612498036035,-2.574921,-6.149292,10.389328,-0.036621,-0.548828,0.828125,3.4415790429266195,-32.39191418990479,88.69545930134711,0.6922754049301147,-0.21952864527702332,-0.17426085472106934,0.6649774312973022
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612502397035,-2.454758,-6.212234,10.145187,-0.032715,-0.55127,0.845703,3.438278896462035,-32.40258779677807,88.60832901060319,0.692759096622467,-0.21970538794994354,-0.17417684197425842,0.6644371151924133
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612506758035,-1.354218,-5.905151,9.778976,-0.025391,-0.529297,0.824707,3.433582358494736,-32.40700084426951,88.4982842492069,0.6933827996253967,-0.21987159550189972,-0.1740202158689499,0.6637722849845886
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612511119035,-1.29509,-5.540848,9.35173,-0.035645,-0.538086,0.833984,3.431795064206633,-32.411708762224244,88.38383587828102,0.6940352916717529,-0.2200629860162735,-0.17383909225463867,0.6630740165710449
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612515480035,-0.865936,-5.355835,8.863449,-0.055664,-0.568848,0.833984,3.434533880846574,-32.42016012079302,88.26927875275652,0.6946886777877808,-0.22030287981033325,-0.17365214228630066,0.6623587012290955
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612519841035,-0.072479,-5.355835,8.069992,-0.058105,-0.541504,0.82373,3.4357280986589864,-32.42150256722893,88.17147691013606,0.6952534317970276,-0.22046589851379395,-0.17346470057964325,0.6617608070373535
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612524202035,-0.926971,-4.867554,7.703781,-0.033203,-0.549805,0.839355,3.4315521956572463,-32.42653072471454,88.0730306476049,0.6958074569702148,-0.2206207662820816,-0.1733301281929016,0.6611618995666504
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612528563035,-1.903534,-3.829956,7.825851,-0.037109,-0.53418,0.838867,3.4334302146066324,-32.43292460723925,87.9773612813874,0.696351945400238,-0.22081445157527924,-0.1731719970703125,0.6605650782585144
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612532924035,-1.720428,-3.40271,6.666183,-0.048828,-0.54248,0.840332,3.436913350526959,-32.4400726658453,87.86451192311,0.6969960927963257,-0.22104768455028534,-0.17297518253326416,0.6598589420318604
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612537285035,-1.354218,-2.975464,5.567551,-0.039551,-0.543457,0.837891,3.4368111490990043,-32.446410718346335,87.74257242997736,0.6976876854896545,-0.22126898169517517,-0.17277760803699493,0.6591052412986755
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612541646035,-1.415253,-2.914429,5.018234,-0.036133,-0.537598,0.848144,3.4344307590558367,-32.450896251849095,87.61736492289404,0.6983967423439026,-0.22147083282470703,-0.17257648706436157,0.6583387851715088
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612546007035,-0.865936,-2.487183,3.919601,-0.061523,-0.532715,0.851562,3.4372544733063783,-32.45179379914875,87.52538750061228,0.6989277601242065,-0.22163087129592896,-0.17238669097423553,0.6577708721160889
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612550696035,-1.049042,-2.426147,3.248215,-0.039551,-0.54834,0.841797,3.433023677963972,-32.457803977633745,87.43456471725626,0.6994329690933228,-0.2217792570590973,-0.17227190732955933,0.6572136282920837
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612555385035,-1.232147,-2.365112,3.18718,-0.040527,-0.53418,0.848144,3.429086457269907,-32.46127325657893,87.34541334465568,0.6999326348304749,-0.2219114899635315,-0.1721436083316803,0.6566704511642456
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612560074035,-0.806808,-2.48909,3.004074,-0.044922,-0.533203,0.854492,3.4250873794969143,-32.46197048345876,87.24710466668206,0.7004886269569397,-0.22204038500785828,-0.17198167741298676,0.656076192855835
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612564763035,-0.806808,-2.180099,2.759933,-0.052246,-0.553711,0.863281,3.4235040055623425,-32.4654059869963,87.14717060653616,0.7010526657104492,-0.22220191359519958,-0.17181767523288727,0.6554616689682007
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612569452035,-0.621796,-2.059937,2.943039,-0.050781,-0.54248,0.852051,3.422730400212227,-32.467250583893154,87.04815371236583,0.7016146779060364,-0.22235697507858276,-0.17164108157157898,0.6548537611961365
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612574141035,-0.806808,-2.122879,2.759933,-0.043945,-0.527832,0.848633,3.419516436788636,-32.46769473549916,86.94777363479962,0.7021825313568115,-0.2224915623664856,-0.17146851122379303,0.6542443633079529
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612578830035,-1.049042,-2.304077,2.759933,-0.031738,-0.530273,0.861816,3.4122253386765697,-32.4681991925191,86.81551973199471,0.702925443649292,-0.22265079617500305,-0.17125926911830902,0.6534466743469238
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612583519035,-0.926971,-2.365112,2.454758,-0.042969,-0.532227,0.856934,3.406785524872376,-32.46909980115637,86.67773493071302,0.7037010788917542,-0.22283101081848145,-0.17103005945682526,0.6526099443435669
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612588208035,-1.049042,-2.365112,2.027512,-0.04248,-0.525391,0.850098,3.4001827625041283,-32.47018531493875,86.53723756752039,0.7044891119003296,-0.22300955653190613,-0.17080360651016235,0.6517574787139893
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612592897035,-1.050949,-2.48909,1.844406,-0.04541,-0.519043,0.859863,3.393169587653749,-32.46899915192291,86.39806960419124,0.7052716016769409,-0.22316980361938477,-0.17056894302368164,0.6509172916412354
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612597586035,-0.865936,-2.792358,1.29509,-0.035645,-0.520996,0.863281,3.380742815569763,-32.467190534335344,86.25559151315021,0.7060648202896118,-0.2233002483844757,-0.17035745084285736,0.6500674486160278
5e5c1999-b1f7-41dc-9a7e-aa899bb9d9db,3bf99b18-18d6-4fc2-9756-060dd3951045,1692820612602275035,-0.682831,-3.28064,0.806808,-0.033203,-0.52832,0.842773,3.3645381875282085,-32.46845827798379,86.11114911685212,0.7068575620651245,-0.22343070805072784,-0.17018312215805054,0.6492061614990234
