section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,1,1710181046809690709,1710181047064943709,255
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,2,1710181047119948709,1710181047505325709,385
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,3,1710181047860709709,1710181048040832709,180
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,4,1710181048045833709,1710181048301086709,255
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,5,1710181050407991709,1710181050758371709,350
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,6,1710181050893498709,1710181051183762709,290
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,7,1710181051298879709,1710181051589133709,290
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,8,1710181051674260709,1710181051954516709,280
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,9,1710181053080530709,1710181053370784709,290
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,10,1710181054406808709,1710181054727054709,320
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,11,1710181055122434709,1710181055262564709,140
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,12,1710181055267561709,1710181055467689709,200
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,13,1710181055863070709,1710181056158328709,295
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,14,1710181057139338709,1710181057484602709,345
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,15,1710181058565608709,1710181058820863709,255
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,16,1710181059416374709,1710181059761751709,345
30a51c7c-c312-40e2-8ada-d2bdd9bc2731,9c1a59da-3f3b-4b2f-a1d6-c71506cab9ad,17,1710181060312259709,1710181060597513709,285
