recording id,timestamp [ns],name,type
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978538291000000,recording.begin,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978551312000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978551438000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978551517000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978551607000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978555815000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978555923000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978556006000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978557239000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978557316000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978557393000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978557474000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978557557000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978558672000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978558759000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978558855000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978560106000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978560192000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978560282000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978564408000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978564494000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978564582000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978564668000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978566048000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978566122000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978566201000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978567481000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978567568000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978567652000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978567731000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978568914000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978568987000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978569062000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978570245000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978570321000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978570400000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978570486000000,calibrationpoint,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708978597492000000,trialstart,recording
adc8d6b3-6aec-41bc-89cb-65cc4c02436b,1708979717129000000,recording.end,recording
