section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1,1690402199979522588,1690402200192025588,212
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,2,1690402201323327588,1690402201586388588,263
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,3,1690402209588876588,1690402209788925588,200
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,4,1690402212585987588,1690402212776542588,190
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,5,1690402251114088588,1690402251404606588,290
