section id,recording id,timestamp [ns]
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402197916000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402197966000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198016000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198066000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198116000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198166000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198216000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198266000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198316000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198366000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198416000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198466000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198516000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198566000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198616000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198666000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198716000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198766000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198816000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198866000000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198886488888
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198918477777
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198954488888
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402198986477777
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199018722222
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199054477777
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199086644444
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199118633333
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199154711111
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199186700000
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199218544444
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199254533333
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199286788888
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199318522222
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199354611111
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199386877777
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199418544444
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1690402199454566666
