section id,recording id,timestamp [ns],pupil diameter [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056819673885,3.446058750152588,-28.44757080078125,8.034400939941406,-39.07184600830078,34.355648040771484,10.5704345703125,-34.49394226074219,0.04111052304506302,0.016387877985835075,0.9990202188491821,-0.2192823439836502,0.001309827552177012,0.9756605625152588
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056824670885,3.4410290718078613,-28.43282699584961,8.12601089477539,-38.982505798339844,34.37257385253906,10.634147644042969,-34.44515609741211,0.041863273829221725,0.013575928285717964,0.999031126499176,-0.2231098711490631,-0.0015756322536617517,0.9747920632362366
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056829670885,3.4673590660095215,-28.452831268310547,8.036632537841797,-39.106040954589844,34.34792709350586,10.586170196533203,-34.492401123046875,0.03853325918316841,0.01615104079246521,0.9991268515586853,-0.2173633724451065,0.001409009681083262,0.9760897159576416
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056834670885,3.472184896469116,-28.423267364501953,8.101272583007812,-39.05863952636719,34.38063049316406,10.603988647460938,-34.516693115234375,0.039712127298116684,0.013537188060581684,0.9991194605827332,-0.2179291546344757,-0.0012230115244165063,0.975963830947876
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056839670885,3.457274913787842,-28.43307876586914,8.06219482421875,-39.07593536376953,34.365928649902344,10.60434341430664,-34.454994201660156,0.03856438398361206,0.01589667983353138,0.9991297125816345,-0.22167402505874634,0.0007636109367012978,0.9751205444335938
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056844678885,3.4641358852386475,-28.449687957763672,8.01864242553711,-39.13389587402344,34.34258270263672,10.616775512695312,-34.443519592285156,0.038386669009923935,0.016852371394634247,0.999120831489563,-0.220688134431839,0.0014271294930949807,0.9753434062004089
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056849670885,3.4581589698791504,-28.45529556274414,8.052371978759766,-39.06517791748047,34.34530258178711,10.598175048828125,-34.443443298339844,0.040958330035209656,0.01708146184682846,0.9990148544311523,-0.22097943723201752,0.0018726139096543193,0.9752767086029053
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056854670885,3.4539785385131836,-28.412826538085938,8.089408874511719,-39.04095458984375,34.38374328613281,10.6434326171875,-34.442039489746094,0.03786385804414749,0.013651737943291664,0.9991896748542786,-0.2239038199186325,-0.0015838576946407557,0.9746099710464478
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056859670885,3.447275400161743,-28.41196060180664,8.044986724853516,-39.01276397705078,34.387054443359375,10.608436584472656,-34.42247009277344,0.03851109370589256,0.018491365015506744,0.9990870952606201,-0.22612731158733368,0.0029524085111916065,0.9740933179855347
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056864670885,3.450063705444336,-28.450698852539062,8.075946807861328,-39.042781829833984,34.346473693847656,10.642475128173828,-34.43708801269531,0.042233653366565704,0.01513955369591713,0.9989930391311646,-0.22112596035003662,-0.00022630294552072883,0.9752452373504639
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056869670885,3.4501540660858154,-28.42974853515625,8.072509765625,-39.04732131958008,34.37163543701172,10.615486145019531,-34.465362548828125,0.039835162460803986,0.015389387495815754,0.9990877509117126,-0.223432257771492,1.1758008440665435e-05,0.9747194647789001
