recording id,timestamp [ns],name,type
f3c27f27-fb09-40d0-9846-2622286bd187,1710358434267000000,recording.begin,recording
f3c27f27-fb09-40d0-9846-2622286bd187,1710358446255000000,calibrationpoint,recording
f3c27f27-fb09-40d0-9846-2622286bd187,1710358446381000000,calibrationpoint,recording
f3c27f27-fb09-40d0-9846-2622286bd187,1710358447793000000,calibrationpoint,recording
f3c27f27-fb09-40d0-9846-2622286bd187,1710358447874000000,calibrationpoint,recording
f3c27f27-fb09-40d0-9846-2622286bd187,1710358449838000000,calibrationpoint,recording
f3c27f27-fb09-40d0-9846-2622286bd187,1710358452193000000,calibrationpoint,recording
f3c27f27-fb09-40d0-9846-2622286bd187,1710358452272000000,calibrationpoint,recording
f3c27f27-fb09-40d0-9846-2622286bd187,1710358453936000000,calibrationpoint,recording
f3c27f27-fb09-40d0-9846-2622286bd187,1710358454007000000,calibrationpoint,recording
f3c27f27-fb09-40d0-9846-2622286bd187,1710358468475000000,trialstart,recording
f3c27f27-fb09-40d0-9846-2622286bd187,1710359255011000000,recording.end,recording
